id,address,categories,city,country,keys,latitude,longitude,name,postalCode,province,twitter,websites
AVwc2nKVByjofQCxi55_,3703 N Main St,"Beer and Ale,Brew Pubs,Bar and Grills,Caterers,Restaurants,Restaurant,Brewers,Brewery",Mishawaka,US,us/in/mishawaka/3703nmainst/-1896157781,41.69397,-86.18279,Evil Czech Brewery,46545,IN,evilczechbeer,"http://evilczechbrewery.com,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJnPzKD0QWL5OxDLY-WNOMCOaIMJ8Tt1OmzsjZgnzgRwy_5KRH2MZ5KWPAhw9RiYz06Iioc20kWuBYGtCPRkuA0QVBnzRfQ9cK2pzjzlCi9vTcJ_BHXgEJQe6ts_roHXjvdNYh64PUweBhNjX3i25xWFvsoXMl5rnz6FtgP15cYvZa2c3sqeTx59TSzRlv9DVGVFQ_YBMEvQAODmU5d5yXDr-WBXYQwcNaJFm0Ry_kiG7MDRpt9XfrKmTsktUGn6XN5RuP-M4oA8oa6wwdUtIDvzo6cqFvDu3U65E3hwOG24adi8UHrnbobavs_kC9zmXB_Wg3BRUFJOCru5d3sk-Igz6_BfW-8Nt41QnPIb2Nc_o&placement=listing_profile&cs_user=unknown&cs_session=b1fe98c5c71cf5918b59cdcad9c7b849ec0f43e8"
AVwc2Nv7ByjofQCxi1gS,2c Loudoun St SW,"Brew Pubs,Beer and Ale,Caterers,American Restaurants,Bar and Grills,Restaurants,Brewery,Restaurant",Leesburg,US,us/va/leesburg/2cloudounstsw/256603340,39.11439,-77.56541,Leesburg Brewing Company,20175,VA,leesburgbrew,"http://leesburgbrewing.com,http://www.leesburgbrewing.com"
AVwc2PbHIN2L1WUfpi6r,3140 SW 42nd Way,"Brew Pubs,Beer and Ale,brewery",Gainesville,US,us/fl/gainesville/3140sw42ndway/1112045162,29.62488,-82.38912,Swamp Head Brewery,32608,FL,swamphead,http://www.swamphead.com
AVwc2PSgIN2L1WUfpi40,1220 W Nickerson St,"Brewery,Brewers,Brewery North Queen Anne",Seattle,US,us/wa/seattle/1220wnickersonst/233625374,47.65576655,-122.3730073,Rooftop Brewing Company,98119,WA,rooftopbrewco,http://rooftopbrewco.com
AVwc2r4wIN2L1WUfpn7V,95 Whiting St,"Brewery,services",Plainville,US,us/ct/plainville/95whitingst/1055514829,41.66653538,-72.86782597,Relic Brewing,6062,CT,relicbrewing,http://relicbeer.com
AVwc2UATIN2L1WUfpju6,2400 Wisconsin 69,"Brewery,Distillery,Brewery and Distillery",New Glarus,US,us/wi/newglarus/2400wisconsin69/2042531953,42.79571556,-89.62972641,New Glarus Brewing Company,53574,WI,newglarusbeer,http://www.newglarusbrewing.com
AVwc2VItIN2L1WUfpj7g,5881 Centennial Center Blvd,"American Restaurant,Pizza Place,Brewery,American Restaurant, Pizza Place, and Brewery Centennial Hills,American Restaurant, Pizza Place, and Brewery",Las Vegas,US,us/nv/lasvegas/5881centennialcenterblvd/554746294,36.26974225,-115.261461,BJ's Restaurant and Brewhouse,89149,NV,bjsrestaurants,http://t.co/bl46gcjDLN
AVwc2yl7_7pvs4fzzrly,12 Resnik Rd,"Food & Drink,Breweries,Brewery",Plymouth,US,us/ma/plymouth/12resnikrd/660114653,41.94919,-70.711544,Mayflower Brewing Company,2360,MA,mayflowerbrew,http://mayflowerbrewing.com
AVwc38PmkufWRAb5z770,1315 Tyler St NE,Brewery,Minneapolis,US,us/mn/minneapolis/1315tylerstne/-841086475,45.000889,-93.24494224,Bauhaus Brew Labs,55413,MN,bauhausbrewlabs,http://bauhausbrewlabs.com
AVwc3dHkByjofQCxjDJ2,3809 Coldwater Rd,"Gastropub,American Restaurant,Brewery,Restaurant,Restaurants,Bars Clubs,Bars Pubs,Brew Pubs,Bar & Grills,Gastropub, American Restaurant, and Brewery",Fort Wayne,US,us/in/fortwayne/3809coldwaterrd/1241605439,41.1114,-85.13592,Granite City Food & Brewery,46805,IN,gcfb,http://www.gcfb.net
AVwc3e1nIN2L1WUfpwkr,701 Eighth Ave. S,Brewery,Nashville,US,us/tn/nashville/701eighthaves/831598967,36.15035077,-86.7793107,Jackalope Brewing Company,37203,TN,jackalopebrew,http://jackalopebrew.com
AVwc3ed2kufWRAb5z2rw,5885 Sawyer Rd,"Brewery,Restaurant,Food & Drink,Breweries",Sawyer,US,us/mi/sawyer/5885sawyerrd/1199299848,41.885659,-86.594577,Greenbush Brewing Company,49125,MI,greenbush_brew,http://greenbushbrewing.com
AVwc3fPLByjofQCxjDfO,21730 Red Rum Dr,"Brewery,Building,Brewery and Building,Restaurant",Ashburn,US,us/va/ashburn/21730redrumdr/-2130663891,39.01601,-77.47567,Lost Rhino Brewing Company,20147,VA,lostrhino,http://www.lostrhino.com
